id,relid,year,conflict_name,dyad_name,side_a,side_b,state,lga,latitude,longitude,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_estimate,high_estimate,low_estimate,source_article,source_headline,location_description
17125,NIG-2001-2-X637-1,2001,"Fulani, Jukun - Tiv","Fulani, Jukun - Tiv","Fulani, Jukun",Tiv,Taraba state,,8.0,10.5,2001-07-01,2001-07-01,0,0,0,20,20,29,20,Reuters 5-jul-01,,Taraba state
16809,NIG-2001-2-254-1,2001,"Afisare, Anaguta, Birom - Fulani, Hausa","Afisare, Anaguta, Birom - Fulani, Hausa","Afisare, Anaguta, Birom","Fulani, Hausa",Plateau state,Jos North lga,9.916667,8.9,2001-09-07,2001-09-13,0,0,0,952,952,2952,952,"Reuters 8-Sep-0, Death Toll of Religious Clash Up in Central Nigeria. Xinhua News Agency 9 September 200, 165 Killed in Religious Clashes in Central Nigeria - Red Cross.  Xinhua News Agency 10 September 2001; Danfulani & Fwatshak ""Briefing: The September 2001 events in Jos, Nigeria"", African Affairs (2002) 101, 243-255; HRW, 2001, ""Jos",,Jos town
16812,NIG-2001-2-254-4,2001,"Afisare, Anaguta, Birom - Fulani, Hausa","Afisare, Anaguta, Birom - Fulani, Hausa","Afisare, Anaguta, Birom","Fulani, Hausa",Plateau state,Jos North lga,9.916667,8.9,2001-09-07,2001-09-08,31,0,0,0,31,31,31,"""African Affairs,2002-12-31,Briefing: The September 2001 events in Jos, Nigeria, 243-255""","Briefing: The September 2001 events in Jos, Nigeria, 243-255",Jos town (Jos University)
16783,NIG-2001-2-254-2,2001,"Afisare, Anaguta, Birom - Fulani, Hausa","Afisare, Anaguta, Birom - Fulani, Hausa","Afisare, Anaguta, Birom","Fulani, Hausa",Plateau state,Jos North lga,9.916667,8.9,2001-09-09,2001-09-09,0,9,0,0,9,9,9,"""African Affairs,2002-12-31,Briefing: The September 2001 events in Jos, Nigeria""","Briefing: The September 2001 events in Jos, Nigeria",Jos town (Dilimi)
16817,NIG-2001-2-254-3,2001,"Afisare, Anaguta, Birom - Fulani, Hausa","Afisare, Anaguta, Birom - Fulani, Hausa","Afisare, Anaguta, Birom","Fulani, Hausa",Plateau state,Riyom lga,9.56796,8.68476,2001-09-10,2001-09-10,0,8,0,0,8,8,8,"""African Affairs,2002-12-31,Briefing: The September 2001 events in Jos, Nigeria""","Briefing: The September 2001 events in Jos, Nigeria","Watam village, Riyom LGA"
16726,NIG-2001-2-X4805-0,2001,"Birom - Fulani, Hausa","Birom - Fulani, Hausa",Birom,"Fulani, Hausa",Plateau state,Jos South lga,9.68333,8.76667,2001-12-30,2001-12-30,0,0,0,21,21,21,21,"""Reuters News,2002-01-01,UPDATE 1-At least 20 killed in attack on Nigerian village."";""Lloyd's Information Casualty Report,2002-01-03,POLITICAL & CIVIL UNREST - NIGERIA.""",UPDATE 1-At least 20 killed in attack on Nigerian village.;POLITICAL & CIVIL UNREST - NIGERIA.,Turu village
17144,NIG-2002-2-67-1,2002,Fulani - Mambila,Fulani - Mambila,Fulani,Mambila,Taraba state,Sardauna lga,6.87463,11.21184,2002-01-01,2002-01-08,0,0,0,50,50,50,30,"Reuters dozens die in Nigerian land clashes, 2002-01-08",,"Tonga Maina village, Sardauna LGA"
16815,NIG-2002-2-X4805-1,2002,"Birom - Fulani, Hausa","Birom - Fulani, Hausa",Birom,"Fulani, Hausa",Plateau state,Jos South lga,9.68333,8.76667,2002-01-01,2002-01-31,0,0,0,21,21,21,21,"Amnesty InternationalDecember 2002, ""Security forces in Nigeria: Serving to protect and respect human rights?"", 17",,Turu village
16803,NIG-2004-2-360-10,2004,Fulani - Tarok,Fulani - Tarok,Fulani,Tarok,Plateau state,Wase lga,9.076944,10.059536,2004-03-01,2004-03-08,0,0,0,13,13,13,13,"""All Africa (The News),2004-03-08,Fire On the Plateau """,Fire On the Plateau,"Mavo village, Wase LGA"
17146,NIG-2004-2-360-13.1,2004,Fulani - Tarok,Fulani - Tarok,Fulani,Tarok,Taraba state,Ibi lga,8.183333,9.75,2004-04-13,2004-04-13,5,0,0,0,5,5,5,"The Guardian 20/4, AFP 20/4",,Ibi LGA (Doshima I and Doshima II villages)
